Assay_Type	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	biological_replica	dev_stage	sample_type	temp	tissue	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	ecotype	geo_loc_name
miRNA-Seq	SAMN07645394	SRX3189227	size fractionation	OTHER	Flower_27_1_sRNA	387	268	SRR6041100	SRS2516572	Flower_27_1	1	Flowering plant	tissue sample	27	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645398	SRX3189226	size fractionation	OTHER	Leaf_21_1_PARE	536	387	SRR6041101	SRS2516576	Leaf_21_1	1	Flowering plant	tissue sample	21	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645398	SRX3189225	size fractionation	OTHER	Leaf_21_1_sRNA	367	247	SRR6041102	SRS2516576	Leaf_21_1	1	Flowering plant	tissue sample	21	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645397	SRX3189224	size fractionation	OTHER	Leaf_15_2_sRNA	251	178	SRR6041103	SRS2516581	Leaf_15_2	2	Flowering plant	tissue sample	15	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645401	SRX3189223	size fractionation	OTHER	Leaf_27_2_sRNA	568	401	SRR6041104	SRS2516579	Leaf_27_2	2	Flowering plant	tissue sample	27	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645400	SRX3189222	size fractionation	OTHER	Leaf_27_1_sRNA	326	235	SRR6041105	SRS2516577	Leaf_27_1	1	Flowering plant	tissue sample	27	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645403	SRX3189221	size fractionation	OTHER	Root_15_2_sRNA	325	226	SRR6041106	SRS2516580	Root_15_2	2	Seedling	tissue sample	15	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645402	SRX3189220	size fractionation	OTHER	Root_15_1_sRNA	968	666	SRR6041107	SRS2516573	Root_15_1	1	Seedling	tissue sample	15	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645405	SRX3189219	size fractionation	OTHER	Root_21_2_sRNA	751	515	SRR6041108	SRS2516584	Root_21_2	2	Seedling	tissue sample	21	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645404	SRX3189218	size fractionation	OTHER	Root_21_1_sRNA	450	311	SRR6041109	SRS2516571	Root_21_1	1	Seedling	tissue sample	21	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645407	SRX3189217	size fractionation	OTHER	Root_27_2_sRNA	275	190	SRR6041110	SRS2516583	Root_27_2	2	Seedling	tissue sample	27	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645406	SRX3189216	size fractionation	OTHER	Root_27_1_sRNA	242	174	SRR6041111	SRS2516582	Root_27_1	1	Seedling	tissue sample	27	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645409	SRX3189215	size fractionation	OTHER	Seedling_15_2_sRNA	320	222	SRR6041112	SRS2516578	Seedling_15_2	2	Seedling	whole organism	15	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645408	SRX3189214	size fractionation	OTHER	Seedling_15_1_sRNA	814	550	SRR6041113	SRS2516570	Seedling_15_1	1	Seedling	whole organism	15	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645397	SRX3189213	size fractionation	OTHER	Leaf_15_2_PARE	184	132	SRR6041114	SRS2516581	Leaf_15_2	2	Flowering plant	tissue sample	15	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645396	SRX3189212	size fractionation	OTHER	Leaf_15_1_PARE	331	237	SRR6041115	SRS2516574	Leaf_15_1	1	Flowering plant	tissue sample	15	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645403	SRX3189211	size fractionation	OTHER	Root_15_2_PARE	220	159	SRR6041116	SRS2516580	Root_15_2	2	Seedling	tissue sample	15	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645402	SRX3189210	size fractionation	OTHER	Root_15_1_PARE	876	630	SRR6041117	SRS2516573	Root_15_1	1	Seedling	tissue sample	15	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645401	SRX3189209	size fractionation	OTHER	Leaf_27_2_PARE	746	544	SRR6041118	SRS2516579	Leaf_27_2	2	Flowering plant	tissue sample	27	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645400	SRX3189208	size fractionation	OTHER	Leaf_27_1_PARE	217	156	SRR6041119	SRS2516577	Leaf_27_1	1	Flowering plant	tissue sample	27	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645409	SRX3189207	size fractionation	OTHER	Seedling_15_2_PARE	2722	1919	SRR6041120	SRS2516578	Seedling_15_2	2	Seedling	whole organism	15	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645400	SRX3189206	RANDOM	TRANSCRIPTOMIC	Leaf_27_1_mRNA	347	244	SRR6041121	SRS2516577	Leaf_27_1	1	Flowering plant	tissue sample	27	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645398	SRX3189205	RANDOM	TRANSCRIPTOMIC	Leaf_21_1_mRNA	381	267	SRR6041122	SRS2516576	Leaf_21_1	1	Flowering plant	tissue sample	21	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645399	SRX3189204	size fractionation	OTHER	Leaf_21_2_sRNA	379	251	SRR6041123	SRS2516575	Leaf_21_2	2	Flowering plant	tissue sample	21	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645396	SRX3189203	RANDOM	TRANSCRIPTOMIC	Leaf_15_1_mRNA	360	252	SRR6041124	SRS2516574	Leaf_15_1	1	Flowering plant	tissue sample	15	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645402	SRX3189202	RANDOM	TRANSCRIPTOMIC	Root_15_1_mRNA	400	280	SRR6041125	SRS2516573	Root_15_1	1	Seedling	tissue sample	15	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645394	SRX3189201	RANDOM	TRANSCRIPTOMIC	Flower_27_1_mRNA	324	226	SRR6041126	SRS2516572	Flower_27_1	1	Flowering plant	tissue sample	27	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645404	SRX3189200	RANDOM	TRANSCRIPTOMIC	Root_21_1_mRNA	363	254	SRR6041127	SRS2516571	Root_21_1	1	Seedling	tissue sample	21	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645408	SRX3189199	size fractionation	OTHER	Seedling_15_1_PARE	322	232	SRR6041128	SRS2516570	Seedling_15_1	1	Seedling	whole organism	15	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
